Wikipedia link,Office,State,Start office date,End office date
https://en.wikipedia.org/wiki/Feizi,Feudal Lord of Qin,Qin,,
https://en.wikipedia.org/wiki/Marquis_of_Qin,Marquis of Qin,Qin,-857,-848
https://en.wikipedia.org/wiki/Gongbo,Gongbo of Qin,Qin,-847,-845
https://en.wikipedia.org/wiki/Qin_Zhong,Marquis of Qin,Qin,-844,-822
https://en.wikipedia.org/wiki/Duke_Zhuang_of_Qin,Duke of Qin,Qin,-821,-778
https://en.wikipedia.org/wiki/Duke_Xiang_of_Qin,Duke of Qin,Qin,-777,-766
https://en.wikipedia.org/wiki/Duke_Wen_of_Qin,Duke of Qin,Qin,-765,-716
https://en.wikipedia.org/wiki/Duke_Xian_of_Qin_(725%E2%80%93704_BC),Duke of Qin,Qin,-715,-704
https://en.wikipedia.org/wiki/Chuzi_I,Ruler of Qin,Qin,-703,-698
https://en.wikipedia.org/wiki/Duke_Wu_of_Qin,Duke of Qin,Qin,-697,-678
https://en.wikipedia.org/wiki/Duke_De_of_Qin,Duke of Qin,Qin,-677,-676
https://en.wikipedia.org/wiki/Duke_Xuan_of_Qin,Duke of Qin,Qin,-675,-664
https://en.wikipedia.org/wiki/Duke_Cheng_of_Qin,Duke of Qin,Qin,-663,-660
https://en.wikipedia.org/wiki/Duke_Mu_of_Qin,Duke of Qin,Qin,-659,-621
https://en.wikipedia.org/wiki/Duke_Kang_of_Qin,Duke of Qin,Qin,-620,-609
https://en.wikipedia.org/wiki/Duke_Gong_of_Qin,Duke of Qin,Qin,-608,-604
https://en.wikipedia.org/wiki/Duke_Huan_of_Qin,Duke of Qin,Qin,-603,-577
https://en.wikipedia.org/wiki/Duke_Jing_of_Qin,Duke of Qin,Qin,-576,-537
https://en.wikipedia.org/wiki/Duke_Ai_of_Qin,Duke of Qin,Qin,-536,-501
https://en.wikipedia.org/wiki/Duke_Hui_I_of_Qin,Duke of Qin,Qin,-500,-492
https://en.wikipedia.org/wiki/Duke_Dao_of_Qin,Duke of Qin,Qin,-491,-477
https://en.wikipedia.org/wiki/Duke_Ligong_of_Qin,Duke of Qin,Qin,-476,-443
https://en.wikipedia.org/wiki/Duke_Zao_of_Qin,Duke of Qin,Qin,-442,-429
https://en.wikipedia.org/wiki/Duke_Huai_of_Qin,Duke of Qin,Qin,-428,-425
https://en.wikipedia.org/wiki/Duke_Ling_of_Qin,Duke of Qin,Qin,-424,-415
https://en.wikipedia.org/wiki/Duke_Jian_of_Qin,Duke of Qin,Qin,-414,-400
https://en.wikipedia.org/wiki/Duke_Hui_II_of_Qin,Duke of Qin,Qin,-399,-387
https://en.wikipedia.org/wiki/Chuzi_II,Ruler of Qin,Qin,-386,-385
https://en.wikipedia.org/wiki/Duke_Xian_of_Qin_(424%E2%80%93362_BC),Duke of Qin,Qin,-384,-362
https://en.wikipedia.org/wiki/Duke_Xiao_of_Qin,Duke of Qin,Qin,-361,-338
https://en.wikipedia.org/wiki/King_Huiwen_of_Qin,King of Qin,Qin,-337,-311
https://en.wikipedia.org/wiki/King_Wu_of_Qin,King of Qin,Qin,-310,-307
https://en.wikipedia.org/wiki/King_Zhaoxiang_of_Qin,King of Qin,Qin,-306,-251
https://en.wikipedia.org/wiki/King_Xiaowen_of_Qin,King of Qin,Qin,-250,-250
https://en.wikipedia.org/wiki/King_Zhuangxiang_of_Qin,King of Qin,Qin,-250,-247
https://en.wikipedia.org/wiki/Qin_Shi_Huang,King of Qin,Qin,-246,-221
https://en.wikipedia.org/wiki/Jilian,Proto-ruler of Chu,Chu,,
https://en.wikipedia.org/wiki/Yingbo,Proto-ruler of Chu,Chu,,
https://en.wikipedia.org/wiki/Yuxiong,Proto-ruler of Chu,Chu,-1100,-1050
https://en.wikipedia.org/wiki/Xiong_Li,Proto-ruler of Chu,Chu,-1090,-1040
https://en.wikipedia.org/wiki/Xiong_Kuang,Proto-ruler of Chu,Chu,-1080,-1030
https://en.wikipedia.org/wiki/Xiong_Yi_(11th_century_BC),Viscount of Chu,Chu,-1050,-1000
https://en.wikipedia.org/wiki/Xiong_Ai,Viscount of Chu,Chu,-977,-950
https://en.wikipedia.org/wiki/Xiong_Dan,Viscount of Chu,Chu,-941,-920
https://en.wikipedia.org/wiki/Xiong_Sheng,Viscount of Chu,Chu,,
https://en.wikipedia.org/wiki/Xiong_Yang,Viscount of Chu,Chu,,
https://en.wikipedia.org/wiki/Xiong_Qu,Viscount of Chu,Chu,,
https://en.wikipedia.org/wiki/Xiong_Kang,Viscount of Chu,Chu,,
https://en.wikipedia.org/wiki/Xiong_Zhi,Viscount of Chu,Chu,,
https://en.wikipedia.org/wiki/Xiong_Yan_(elder),Viscount of Chu,Chu,,-848
https://en.wikipedia.org/wiki/Xiong_Yong,Viscount of Chu,Chu,-847,-838
https://en.wikipedia.org/wiki/Xiong_Yan_(younger),Viscount of Chu,Chu,-837,-828
https://en.wikipedia.org/wiki/Xiong_Shuang,Viscount of Chu,Chu,-827,-822
https://en.wikipedia.org/wiki/Xiong_Xun,Viscount of Chu,Chu,-821,-800
https://en.wikipedia.org/wiki/Xiong_E,Viscount of Chu,Chu,-799,-791
https://en.wikipedia.org/wiki/Ruo%27ao,Viscount of Chu,Chu,-790,-764
https://en.wikipedia.org/wiki/Xiao%27ao,Viscount of Chu,Chu,-763,-758
https://en.wikipedia.org/wiki/Fenmao,Viscount of Chu,Chu,-757,-741
https://en.wikipedia.org/wiki/King_Wu_of_Chu,King of Chu,Chu,-740,-690
https://en.wikipedia.org/wiki/King_Wen_of_Chu,King of Chu,Chu,-689,-677
https://en.wikipedia.org/wiki/Du%27ao,King of Chu,Chu,-676,-672
https://en.wikipedia.org/wiki/King_Cheng_of_Chu,King of Chu,Chu,-671,-626
https://en.wikipedia.org/wiki/King_Mu_of_Chu,King of Chu,Chu,-625,-614
https://en.wikipedia.org/wiki/King_Zhuang_of_Chu,King of Chu,Chu,-613,-591
https://en.wikipedia.org/wiki/King_Gong_of_Chu,King of Chu,Chu,-590,-560
https://en.wikipedia.org/wiki/King_Kang_of_Chu,King of Chu,Chu,-559,-545
https://en.wikipedia.org/wiki/Jia%27ao,King of Chu,Chu,-544,-541
https://en.wikipedia.org/wiki/King_Ling_of_Chu,King of Chu,Chu,-540,-529
https://en.wikipedia.org/wiki/Zi%27ao,King of Chu,Chu,-529,-529
https://en.wikipedia.org/wiki/King_Ping_of_Chu,King of Chu,Chu,-528,-516
https://en.wikipedia.org/wiki/King_Zhao_of_Chu,King of Chu,Chu,-515,-489
https://en.wikipedia.org/wiki/King_Hui_of_Chu,King of Chu,Chu,-488,-432
https://en.wikipedia.org/wiki/King_Jian_of_Chu,King of Chu,Chu,-431,-408
https://en.wikipedia.org/wiki/King_Sheng_of_Chu,King of Chu,Chu,-407,-402
https://en.wikipedia.org/wiki/King_Dao_of_Chu,King of Chu,Chu,-401,-381
https://en.wikipedia.org/wiki/King_Su_of_Chu,King of Chu,Chu,-380,-370
https://en.wikipedia.org/wiki/King_Xuan_of_Chu,King of Chu,Chu,-369,-340
https://en.wikipedia.org/wiki/King_Wei_of_Chu,King of Chu,Chu,-339,-329
https://en.wikipedia.org/wiki/King_Huai_of_Chu,King of Chu,Chu,-328,-299
https://en.wikipedia.org/wiki/King_Qingxiang_of_Chu,King of Chu,Chu,-298,-263
https://en.wikipedia.org/wiki/King_Kaolie_of_Chu,King of Chu,Chu,-262,-238
https://en.wikipedia.org/wiki/King_You_of_Chu,King of Chu,Chu,-237,-228
https://en.wikipedia.org/wiki/King_Ai_of_Chu,King of Chu,Chu,-228,-228
https://en.wikipedia.org/wiki/Fuchu,King of Chu,Chu,-227,-223
https://en.wikipedia.org/wiki/Lord_Changping,King of Chu,Chu,-223,-223
https://en.wikipedia.org/wiki/Chen_Sheng,King of Chu,Chu,-210,-209
https://en.wikipedia.org/wiki/Jing_Ju,King of Chu,Chu,-209,-208
https://en.wikipedia.org/wiki/Xiong_Xin,Emperor of Chu,Chu,-208,-206
https://en.wikipedia.org/wiki/Xiang_Yu,Hegemon-King of Western Chu,Chu,-206,-202
https://en.wikipedia.org/wiki/Duke_Tai_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Ding_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Y%C7%90_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Gui_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Ai_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Hu_of_Qi,Duke of Qi,Qi,,
https://en.wikipedia.org/wiki/Duke_Xian_of_Qi,Duke of Qi,Qi,-859,-851
https://en.wikipedia.org/wiki/Duke_Wu_of_Qi,Duke of Qi,Qi,-850,-825
https://en.wikipedia.org/wiki/Duke_Li_of_Qi,Duke of Qi,Qi,-824,-816
https://en.wikipedia.org/wiki/Duke_Wen_of_Qi,Duke of Qi,Qi,-815,-804
https://en.wikipedia.org/wiki/Duke_Cheng_of_Qi,Duke of Qi,Qi,-803,-795
https://en.wikipedia.org/wiki/Duke_Zhuang_I_of_Qi,Duke of Qi,Qi,-794,-731
https://en.wikipedia.org/wiki/Duke_Xi_of_Qi,Duke of Qi,Qi,-730,-698
https://en.wikipedia.org/wiki/Duke_Xiang_of_Qi,Duke of Qi,Qi,-697,-686
https://en.wikipedia.org/wiki/Wuzhi_(Qi),Ruler of Qi,Qi,-686,-686
https://en.wikipedia.org/wiki/Duke_Huan_of_Qi,Duke of Qi,Qi,-685,-643
https://en.wikipedia.org/wiki/Wukui,Ruler of Qi,Qi,-643,-643
https://en.wikipedia.org/wiki/Duke_Xiao_of_Qi,Duke of Qi,Qi,-642,-633
https://en.wikipedia.org/wiki/Duke_Zhao_of_Qi,Duke of Qi,Qi,-632,-613
https://en.wikipedia.org/wiki/She_(Qi),Ruler of Qi,Qi,-613,-613
https://en.wikipedia.org/wiki/Duke_Y%C3%AC_of_Qi,Duke of Qi,Qi,-612,-609
https://en.wikipedia.org/wiki/Duke_Hui_of_Qi,Duke of Qi,Qi,-608,-599
https://en.wikipedia.org/wiki/Duke_Qing_of_Qi,Duke of Qi,Qi,-598,-582
https://en.wikipedia.org/wiki/Duke_Ling_of_Qi,Duke of Qi,Qi,-581,-554
https://en.wikipedia.org/wiki/Duke_Zhuang_II_of_Qi,Duke of Qi,Qi,-553,-548
https://en.wikipedia.org/wiki/Duke_Jing_of_Qi,Duke of Qi,Qi,-547,-490
https://en.wikipedia.org/wiki/An_Ruzi,Ruler of Qi,Qi,-489,-489
https://en.wikipedia.org/wiki/Duke_Dao_of_Qi,Duke of Qi,Qi,-488,-485
https://en.wikipedia.org/wiki/Duke_Jian_of_Qi,Duke of Qi,Qi,-484,-481
